iter	Passed	Remaining
0	143	142933
1	144	72016
2	145	48378
3	146	36509
4	147	29375
5	148	24620
6	149	21212
7	151	18733
8	152	16744
9	153	15147
10	154	13857
11	155	12762
12	155	11839
13	156	11048
14	157	10366
15	158	9766
16	159	9241
17	160	8765
18	161	8344
19	162	7964
20	163	7624
21	164	7315
22	165	7029
23	166	6765
24	167	6528
25	168	6303
26	169	6099
27	170	5907
28	171	5726
29	172	5561
30	173	5409
31	174	5265
32	175	5129
33	176	5003
34	177	4880
35	178	4770
36	179	4660
37	179	4555
38	180	4455
39	181	4361
40	182	4272
41	183	4186
42	184	4107
43	185	4028
44	186	3953
45	187	3880
46	188	3813
47	189	3749
48	190	3695
49	191	3637
50	192	3579
51	193	3522
52	194	3467
53	194	3415
54	196	3367
55	196	3319
56	197	3272
57	198	3227
58	199	3184
59	200	3143
60	201	3106
61	202	3068
62	203	3029
63	204	2991
64	205	2953
65	206	2917
66	207	2883
67	207	2848
68	208	2815
69	209	2783
70	210	2752
71	211	2721
72	212	2692
73	212	2663
74	213	2636
75	214	2609
76	215	2583
77	216	2559
78	217	2534
79	218	2508
80	218	2484
81	219	2460
82	220	2433
83	220	2409
84	221	2387
85	222	2365
86	223	2344
87	224	2323
88	224	2302
89	225	2282
90	226	2263
91	227	2245
92	228	2226
93	229	2208
94	229	2189
95	230	2172
96	231	2154
97	232	2137
98	233	2121
99	234	2106
100	234	2090
101	235	2076
102	236	2060
103	237	2046
104	238	2032
105	239	2017
106	240	2004
107	240	1990
108	241	1976
109	242	1964
110	243	1951
111	244	1939
112	245	1927
113	246	1915
114	247	1903
115	248	1891
116	248	1877
117	249	1866
118	250	1855
119	251	1844
120	252	1833
121	253	1822
122	254	1812
123	255	1802
124	256	1793
125	257	1783
126	257	1773
127	259	1764
128	260	1756
129	260	1746
130	261	1736
131	262	1727
132	263	1717
133	264	1708
134	265	1699
135	266	1691
136	267	1681
137	267	1673
138	268	1664
139	269	1656
140	270	1648
141	271	1638
142	271	1630
143	272	1622
144	273	1614
145	274	1607
146	275	1600
147	276	1592
148	277	1585
149	278	1578
150	279	1571
151	280	1563
152	281	1556
153	282	1549
154	282	1542
155	283	1535
156	284	1528
157	285	1522
158	286	1515
159	287	1508
160	288	1500
161	288	1494
162	289	1488
163	290	1482
164	291	1475
165	292	1469
166	293	1463
167	294	1457
168	295	1451
169	296	1446
170	297	1440
171	298	1435
172	299	1431
173	300	1425
174	301	1420
175	302	1415
176	303	1411
177	304	1405
178	305	1400
179	306	1395
180	307	1389
181	308	1384
182	308	1379
183	309	1374
184	310	1368
185	311	1363
186	312	1359
187	313	1353
188	314	1348
189	315	1343
190	316	1339
191	317	1334
192	317	1329
193	318	1324
194	319	1320
195	320	1315
196	321	1311
197	322	1306
198	323	1302
199	324	1297
200	325	1293
201	326	1288
202	327	1285
203	328	1281
204	329	1277
205	330	1273
206	331	1269
207	332	1265
208	333	1260
209	334	1256
